model,fold,ordering,failed_pickups,failed_returns,total_failures,fulfilled_demand_rate,average_regret_vs_oracle,percentage_within_one_failure_of_oracle,mean_absolute_starting_inventory_error,station_days
historical_average,0,pickups_then_returns,20375,18588,38963,0.9298198490884332,5.669047619047619,29.523809523809526,5.8845238095238095,840
historical_average,0,returns_then_pickups,17228,21742,38970,0.9285517898524309,4.211904761904762,49.523809523809526,4.5130952380952385,840
historical_average,1,pickups_then_returns,7760,8901,16661,0.9572647090833336,4.51604938271605,43.95061728395061,5.558024691358025,810
historical_average,1,returns_then_pickups,7472,10088,17560,0.9550925297778564,3.865432098765432,54.44444444444444,5.517283950617284,810
historical_average,2,pickups_then_returns,3932,4990,8922,0.9750456073580972,2.7357142857142858,61.66666666666667,5.045238095238095,840
historical_average,2,returns_then_pickups,4555,5660,10215,0.9703687006116192,2.925,62.73809523809524,6.08452380952381,840
lightgbm_poisson,0,pickups_then_returns,20312,18875,39187,0.9292222500544814,5.935714285714286,32.142857142857146,6.1345238095238095,840
lightgbm_poisson,0,returns_then_pickups,17630,21538,39168,0.9280057113117706,4.447619047619048,50.71428571428571,4.880952380952381,840
lightgbm_poisson,1,pickups_then_returns,8775,9603,18378,0.9526020114751195,6.635802469135802,41.85185185185185,6.814814814814815,810
lightgbm_poisson,1,returns_then_pickups,7440,12291,19731,0.9495652895803126,6.545679012345679,43.95061728395061,7.176543209876543,810
lightgbm_poisson,2,pickups_then_returns,4785,5552,10337,0.9719206724537615,4.420238095238095,58.452380952380956,4.626190476190477,840
lightgbm_poisson,2,returns_then_pickups,4347,7202,11549,0.9677713400685288,4.5130952380952385,56.07142857142857,5.015476190476191,840
poisson_glm,0,pickups_then_returns,22584,20035,42619,0.9225518133119265,10.021428571428572,24.047619047619047,10.051190476190476,840
poisson_glm,0,returns_then_pickups,18310,27114,45424,0.9171603910863924,11.895238095238096,23.69047619047619,11.914285714285715,840
poisson_glm,1,pickups_then_returns,9792,9995,19787,0.9486057416999017,8.375308641975309,37.53086419753087,8.375308641975309,810
poisson_glm,1,returns_then_pickups,7510,14945,22455,0.9421358992246665,9.908641975308642,35.80246913580247,9.953086419753086,810
poisson_glm,2,pickups_then_returns,5618,5875,11493,0.9685111090371044,5.796428571428572,57.61904761904761,5.802380952380952,840
poisson_glm,2,returns_then_pickups,4313,9477,13790,0.9615528766258282,7.180952380952381,51.19047619047619,7.232142857142857,840
recent_average,0,pickups_then_returns,19162,19316,38478,0.9304727913128141,5.091666666666667,34.523809523809526,5.6571428571428575,840
recent_average,0,returns_then_pickups,17469,20975,38444,0.929763184416933,3.585714285714286,50.357142857142854,4.332142857142857,840
recent_average,1,pickups_then_returns,7659,9211,16870,0.9566487572711405,4.774074074074074,46.543209876543216,6.148148148148148,810
recent_average,1,returns_then_pickups,7393,9917,17310,0.9560641460382518,3.55679012345679,55.06172839506173,5.549382716049383,810
recent_average,2,pickups_then_returns,3970,5042,9012,0.9750037157275181,2.842857142857143,61.78571428571429,4.911904761904762,840
recent_average,2,returns_then_pickups,4114,6051,10165,0.970615850126677,2.8654761904761905,63.45238095238095,5.432142857142857,840
seasonal_naive,0,pickups_then_returns,19293,19414,38707,0.9298268668313631,5.364285714285714,35.476190476190474,6.225,840
seasonal_naive,0,returns_then_pickups,17665,21104,38769,0.9287429697338357,3.9726190476190477,50.23809523809524,5.1380952380952385,840
seasonal_naive,1,pickups_then_returns,8030,9484,17514,0.9547046608928726,5.569135802469136,44.44444444444444,7.232098765432099,810
seasonal_naive,1,returns_then_pickups,7524,10615,18139,0.9543437938100733,4.580246913580247,51.72839506172839,6.62716049382716,810
seasonal_naive,2,pickups_then_returns,3816,5055,8871,0.9754746062541592,2.675,66.42857142857143,5.080952380952381,840
seasonal_naive,2,returns_then_pickups,4130,5963,10093,0.9709341819686814,2.7797619047619047,63.8095238095238,5.379761904761905,840
